QUANTITY,SKU
2,1301021385_GIALLO_735
2,1301021385_GIALLO_735
1,1401414707_BIANCO_130
2,1401414711_ROSSO_603
1,1401406203_BIANCO_130
1,1401410518_BIANCO_112
1,1401410518_BIANCO_112
1,1401410518_BIANCO_112
1,1401410518_BIANCO_112
2,1403408102_GRIGIO_93
3,1403408102_GRIGIO_93
1,1403408102_GRIGIO_93
1,1403450802_VERDE_328
1,1403450802_VERDE_328
1,1403450802_VERDE_328
3,1401431953_BIANCO_130
1,762_NERO_N
3,KMV546-FY300_NERO_R96-G
1,19480711_GRIGIO_085
2,19480711_GRIGIO_085
2,K60K603780_ROSA_619
1,1701331590_ROSSO_620
2,1401407703_BLU_468
1,1401414707_BLU_433
1,1701021435_AZZURRO_443
1,GATS01CALI-AB30_GIALLO_1-GIALLO-1555
2,17038000011_BLU_405
3,16011916656_MARRONE_336
2,1601175216_BEIGE_278
1,18011502050_BIANCO_113
2,1401420327_MULTICOLOR_105
3,1401420327_MULTICOLOR_105
1,18011007309_BEIGE_277
1,18014150026_ROSSO_643
15,GATS01RNBW-AB30_ARANCIO_ARANCIO
76,GATS01RNBW-AB30_ARANCIO_ARANCIO
87,GATS01RNBW-AB30_ARANCIO_ARANCIO
33,GATS01RNBW-AB30_ARANCIO_ARANCIO
1,16031503950_GRIGIO_11
1,18034150058_NERO_5
2,1504414853_BIANCO_125
2,1504414853_BIANCO_125
1,1504414853_BIANCO_125
2,1504414853_BIANCO_125
1,18031000128_MARRONE_210
2,18031000128_MARRONE_210
3,1601475710_ROSSO_610
9,18031501356_BEIGE_34
3,18031501356_BEIGE_34
1,18031501356_BEIGE_34
1,17011007308_BEIGE_277
3,18033011430_BLU_423
2,18033004320_VIOLA_509
4,18031500016_MARRONE_210
2,18031500016_MARRONE_210
7,18031500016_MARRONE_210
4,18031500016_MARRONE_210
5,18031500016_MARRONE_210
1,18037001545_ROSSO_621
1,17031002208_GRIGIO_11
1,19014150069_BIANCO_113
1,19014100054_BLU_410
2,1601076436_BLU_436
2,1601076436_BLU_436
1,1701432669_ROSA_635
3,1701432669_ROSA_635
1,1701432669_ROSA_635
2,19013016530_BLU_658
1,19013051710_BLU_113
1,W92B54K8G10_BLU_JBL
1,W92B54K8G10_BLU_JBL
1,18017001525_BLU_409
2,17034150006_BLU_436
2,17034150006_BLU_436
1,57318-49492_ROSSO_459
2,57341-52474_BLU_477
2,57341-52474_BLU_477
1,57341-52474_BLU_477
2,57341-52474_BLU_477
1,18031000148_GRIGIO_015
3,18031000148_GRIGIO_015
2,18031000148_GRIGIO_015
1,J20J213138_BLU_1BJ
1,18037705047_GRIGIO_92
3,18037705047_GRIGIO_92
2,18037705047_GRIGIO_92
2,18037705047_GRIGIO_92
1,18014352038_AZZURRO_420
1,19011505031_BEIGE_248
1,19011505031_BEIGE_248
3,19011505031_BEIGE_248
3,19011505031_BEIGE_248
3,19011505031_BEIGE_248
1,19011505031_BEIGE_248
9,19038020037_BLU_433
6,19038020037_BLU_433
7,19038020037_BLU_433
11,19038020037_BLU_433
4,19038020037_BLU_433
2,19013016530_BLU_710
2,18033004524_VIOLA_509
6,18033004524_VIOLA_509
8,18033004524_VIOLA_509
